,Information Technology,Financials,Health Care,Consumer Discretionary,Industrials,Energy,Consumer Staples,Materials,Utilities,Telecommunication Services
2023-01-11 00:00:00,2252.98,595.06,1578.26,1075.02,863.19,676.61,783.83,522.98,366.58,169.64
2023-01-12 00:00:00,2269.26,596.43,1572.1,1076.86,868.1,689.26,777.62,524.63,364.23,171.05
2023-01-13 00:00:00,2276.98,600.66,1579.53,1087.35,867.03,690.21,781.2,528.16,362.63,171.98
2023-01-17 00:00:00,2286.94,596.59,1571.65,1088.11,859.73,691.07,781.17,522.5,362.18,170.4
2023-01-18 00:00:00,2257.62,585.64,1549.37,1073.99,843.87,678.87,760.45,515.28,353.46,168.82
2023-01-19 00:00:00,2231.84,578.61,1552.99,1055.81,826.29,686.38,752.72,511.31,349.93,170.34
2023-01-20 00:00:00,2292.54,588.16,1561.79,1081.81,837.89,695.32,758.85,521.77,351.99,177.09
2023-01-23 00:00:00,2344.75,594.75,1566.24,1098.79,847.05,693.91,761.11,523.43,352.14,180.24
2023-01-24 00:00:00,2343.86,595.37,1556.12,1096.9,852.53,692.41,764.03,523.64,353.85,178.99
2023-01-25 00:00:00,2337.67,599.75,1556.28,1102.83,848.01,691.78,766.19,524.7,349.03,178.35
2023-01-26 00:00:00,2375.4,602.72,1558.72,1125.24,852.73,714.77,764.07,527.24,350.38,181.3
2023-01-27 00:00:00,2385.9,603.02,1547.92,1150.81,855.73,700.58,762.14,525.46,350.27,182.9
2023-01-30 00:00:00,2339.64,599.89,1533.57,1131.09,847.44,684.53,762.71,521.79,348.68,179.61
2023-01-31 00:00:00,2373.29,607.9,1553.43,1156.22,861.96,690.59,770.91,533.4,351.17,182.04
2023-02-01 00:00:00,2427.67,608.01,1560.94,1178.1,868.1,677.53,776.77,536.88,351.81,184.49
2023-02-02 00:00:00,2495.25,609.12,1550.33,1214.42,874.82,660.47,770.11,535.36,352.35,196.92
2023-02-03 00:00:00,2475.27,608.5,1546.32,1176.67,870.28,658.95,766.84,525.63,345.05,192.55
2023-02-06 00:00:00,2445,607.64,1537.1,1175.12,868.47,656.34,767.03,519.96,348.04,190.03
2023-02-07 00:00:00,2505.26,614.71,1547,1177.7,870.62,676.54,764.28,526.71,347.76,194.74
2023-02-08 00:00:00,2473.94,611.26,1542.24,1167.17,865.51,670.76,757.91,522.45,341.81,186.69
2023-02-09 00:00:00,2461.49,603.75,1528.98,1164.75,857.89,665.97,755.67,515.1,336.99,181.47
2023-02-10 00:00:00,2448.02,606.18,1543.29,1150.55,864.22,692.1,762.7,516.93,343.74,179.86
2023-02-13 00:00:00,2491.47,612.87,1556.1,1167.37,871.83,687.91,771.64,519.56,345.75,181.84
2023-02-14 00:00:00,2502.34,609.58,1546.71,1181.11,869.36,687.78,764.47,520.68,344.09,181.85
2023-02-15 00:00:00,2511.94,610.53,1538.77,1194.85,874.82,675.54,765.89,522.99,346.29,183.97
2023-02-16 00:00:00,2467.9,604,1523.11,1168.99,865.28,668.58,759.8,516.98,343.42,181.12
2023-02-17 00:00:00,2438.44,604.28,1536.74,1169.45,870.74,644.2,769.6,512,346.85,180.27
